PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10a_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10a_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10a_sorted_fstrand_peak_3459	chr5	37610850	37610900	+	25	NA	intron (NM_018034, intron 10 of 17)	intron (NM_018034, intron 10 of 17)	224049	NM_001278098	2668	Hs.248114	NM_000514	ENSG00000168621	GDNF	ATF1|ATF2|HFB1-GDNF|HSCR3	glial cell derived neurotrophic factor	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4441	chr9	110238749	110238798	+	25	NA	Intergenic--8270	AluSx1|SINE|Alu	-9907	NR_121581	101928720	Hs.125496	NR_121581		LINC01509	PRCAT37	long intergenic non-protein coding RNA 1509	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1041	chr12	50544810	50544859	+	25	NA	intron (NM_001281731, intron 1 of 10)	L2|LINE|L2	16482	NM_147190	91012	Hs.270525	NM_147190	ENSG00000139624	CERS5	LASS5|Trh4	ceramide synthase 5	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_99	chr1	36621762	36621811	+	25	NA	5' UTR (NM_001286366, exon 1 of 18)	promoter-TSS (NM_001270895)	-132	NM_001270895	27095	Hs.523131	NM_014408	ENSG00000054116	TRAPPC3	BET3	trafficking protein particle complex 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_871	chr11	77409618	77409667	+	25	NA	exon (NM_016578, exon 7 of 16)	exon (NM_016578, exon 7 of 16)	-60791	NM_001293	1207	Hs.430733	NM_001293	ENSG00000074201	CLNS1A	CLCI|CLNS1B|ICln	chloride channel, nucleotide-sensitive, 1A	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2390	chr2	111435567	111435616	+	25	NA	5' UTR (NM_001278616, exon 1 of 24)	promoter-TSS (NM_001278616)	93	NM_001278617	699	Hs.469649	NM_004336	ENSG00000169679	BUB1	BUB1A|BUB1L|hBUB1	BUB1 mitotic checkpoint serine/threonine kinase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_586	chr10	79536738	79536787	+	25	NA	Intergenic--8909	U6|snRNA|snRNA	-139185	NM_002247	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|KCa1.1|MaxiK|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|mSLO1	potassium channel, calcium activated large conductance subfamily M alpha, member 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3981	chr7	12641633	12641682	+	25	NA	intron (NM_033128, intron 1 of 13)	tRNA-Lys-AAG|tRNA|tRNA	12509	NM_033128	85477	Hs.633359	NM_033128	ENSG00000006747	SCIN	-	scinderin	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4347	chr8	145734483	145734535	+	25	NA	5' UTR (NM_138431, exon 1 of 5)	promoter-TSS (NM_138431)	90	NM_138431	113655	Hs.7678	NM_138431	ENSG00000167700	MFSD3	-	major facilitator superfamily domain containing 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2871	chr20	61430351	61430400	+	25	NA	exon (NM_018270, exon 4 of 5)	exon (NM_018270, exon 4 of 5)	2570	NM_018270	55257	Hs.590870	NM_018270		MRGBP	C20orf20|Eaf7|MRG15BP|URCC4	MRG/MORF4L binding protein	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1056	chr12	51566691	51566740	+	25	NA	5' UTR (NM_001173452, exon 1 of 15)	5' UTR (NM_001173452, exon 1 of 15)	211	NM_005653	7024	Hs.48849	NM_005653	ENSG00000135457	TFCP2	LBP1C|LSF|LSF1D|SEF|TFCP2C	transcription factor CP2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2410	chr2	136673836	136673885	+	25	NA	exon (NM_001349, exon 11 of 16)	exon (NM_001349, exon 11 of 16)	-39813	NM_005915	4175	Hs.444118	NM_005915	ENSG00000076003	MCM6	MCG40308|Mis5|P105MCM	minichromosome maintenance complex component 6	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1149	chr12	120798857	120798906	+	25	NA	intron (NM_002442, intron 6 of 14)	intron (NM_002442, intron 6 of 14)	8102	NM_002442	4440	Hs.158311	NM_002442	ENSG00000135097	MSI1	-	musashi RNA binding protein 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2962	chr3	185636126	185636177	+	25	NA	intron (NM_001243879, intron 7 of 7)	intron (NM_001243879, intron 7 of 7)	19773	NM_004593	6434	Hs.533122	NM_004593		TRA2B	Htra2-beta|PPP1R156|SFRS10|SRFS10|TRA2-BETA|TRAN2B	transformer 2 beta homolog (Drosophila)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1812	chr17	36971202	36971251	+	25	NA	exon (NM_017748, exon 3 of 10)	exon (NM_017748, exon 3 of 10)	10377	NR_073428	54883	Hs.406223	NM_017748	ENSG00000273559	CWC25	CCDC49	CWC25 spliceosome-associated protein homolog	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_355	chr1	192685274	192685323	+	25	NA	Intergenic	promoter-TSS (NR_039624).3	-160	NR_039624	100616345		NR_039624		MIR4426	-	microRNA 4426	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1632	chr16	16101756	16101805	+	25	NA	exon (NM_004996, exon 2 of 31)	exon (NM_004996, exon 2 of 31)	58346	NM_004996	4363	Hs.391464	NM_004996	ENSG00000103222	ABCC1	ABC29|ABCC|GS-X|MRP|MRP1	ATP binding cassette subfamily C member 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_750	chr11	59383954	59384003	+	25	NA	Intergenic	promoter-TSS (NM_002556)	-361	NM_002556	5007	Hs.597091	NM_002556	ENSG00000110048	OSBP	OSBP1	oxysterol binding protein	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4009	chr8	54755725	54755830	+	25	NA	5' UTR (NM_015941, exon 1 of 14)	promoter-TSS (NM_015941)	94	NM_015941	51606	Hs.491737	NM_015941	ENSG00000047249	ATP6V1H	CGI-11|MSTP042|NBP1|SFD|SFDalpha|SFDbeta|VMA13	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2292	chr2	43647341	43647406	+	25	NA	intron (NM_022065, intron 28 of 37)	intron (NM_022065, intron 28 of 37)	175740	NM_001083953	63892	Hs.369592	NM_022065	ENSG00000115970	THADA	GITA	thyroid adenoma associated	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2247	chr2	1795801	1795850	+	25	NA	intron (NM_015025, intron 24 of 24)	intron (NM_015025, intron 24 of 24)	-47506	NM_012293	7837	Hs.332197	NM_012293	ENSG00000130508	PXDN	COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO	peroxidasin	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4005	chr8	51831696	51831745	+	25	NA	Intergenic--7397	L1PA4|LINE|L1	890285	NM_144651	137902	Hs.444882	NM_144651	ENSG00000147485	PXDNL	PMR1|PRM1|VPO2	peroxidasin like	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3340	chr4	113486029	113486078	+	25	NA	intron (NM_018392, intron 16 of 27)	intron (NM_018392, intron 16 of 27)	-48725	NM_024019	63973	Hs.744415	NM_024019	ENSG00000178403	NEUROG2	Atoh4|Math4A|NGN2|bHLHa8|ngn-2	neurogenin 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3880	chr7	107121399	107121448	+	25	NA	intron (NM_181733, intron 6 of 20)	intron (NM_181733, intron 6 of 20)	10921	NM_005295	2845	Hs.657277	NM_005295	ENSG00000172209	GPR22	-	G protein-coupled receptor 22	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3763	chr6	28611309	28611358	+	25	NA	Intergenic--5560	Intergenic	-56221	NM_052923	114821	Hs.176980	NM_052923	ENSG00000232040	ZBED9	Buster4|SCAND3|ZFP38-L|ZNF305P2|ZNF452|dJ1186N24.3	zinc finger, BED-type containing 9	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_865	chr11	69921469	69921518	+	25	NA	Intergenic	promoter-TSS (NR_103835)	-39	NR_103835	100009613	Hs.131238	NR_103835		ANO1-AS2	C11orf78|NCRNA00224	ANO1 antisense RNA 2 (head to head)	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_427	chr1	205744494	205744543	+	25	NA	5' UTR (NM_001135662, exon 1 of 6)	promoter-TSS (NM_001135662)	92	NM_001135663	8934	Hs.115325	NM_003929	ENSG00000117280	RAB29	RAB7L|RAB7L1	RAB29, member RAS oncogene family	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1182	chr13	27669422	27669471	+	25	NA	intron (NM_182488, intron 4 of 8)	intron (NM_182488, intron 4 of 8)	-30224	NR_046547	100874070	Hs.524923	NR_046547		USP12-AS1	-	USP12 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4004	chr7	35923519	35923632	+	25	NA	exon (NM_001011553, exon 8 of 13)	exon (NM_001011553, exon 8 of 13)	82979	NM_001011553	989	Hs.191346	NM_001788	ENSG00000122545	SEPT7	CDC10|CDC3|NBLA02942|SEPT7A	septin 7	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1337	chr14	32671249	32671298	+	25	NA	non-coding (NR_125730, exon 1 of 1).3	promoter-TSS (NR_125730).3	22	NR_125730	103625684		NR_125730	ENSG00000207357	RNU6-2	U6-2	RNA, U6 small nuclear 2	snRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_910	chr11	104123327	104123376	+	25	NA	non-coding (NR_106987, exon 1 of 1)	promoter-TSS (NR_106987)	32	NR_106987	102465752		NR_106987		MIR7641-1	hsa-mir-7641-1	microRNA 7641-1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1934	chr17	45727285	45727386	+	25	NA	5' UTR (NM_002265, exon 1 of 22)	5' UTR (NM_002265, exon 1 of 22)	131	NM_002265	3837	Hs.532793	NM_002265		KPNB1	IMB1|IPO1|IPOB|Impnb|NTF97	karyopherin (importin) beta 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1220	chr13	21296702	21296751	+	25	NA	3' UTR (NM_138284, exon 3 of 3)	3' UTR (NM_138284, exon 3 of 3)	19244	NM_138284	53342	Hs.655142	NM_138284	ENSG00000172458	IL17D	IL-17D|IL-27|IL27	interleukin 17D	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3894	chr7	113862200	113862249	+	25	NA	intron (NR_033766, intron 1 of 19)	AluJb|SINE|Alu	135859	NR_033766	93986	Hs.282787	NM_014491	ENSG00000128573	FOXP2	CAGH44|SPCH1|TNRC10	forkhead box P2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_964	chr12	7576668	7576717	+	25	NA	intron (NM_174941, intron 4 of 19)	L1PA8|LINE|L1	20089	NM_174941	283316	Hs.631727	NM_174941	ENSG00000177675	CD163L1	CD163B|M160	CD163 molecule-like 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2416	chr2	11535829	11535878	+	25	NA	intron (NR_047499, intron 1 of 2)	MER115|DNA|hAT-Tip100	1746	NR_047499	100874055	Hs.102428	NR_047499	ENSG00000224177	LINC00570	ncRNA-a5	long intergenic non-protein coding RNA 570	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_30	chr1	8924058	8924138	+	25	NA	exon (NM_001428, exon 9 of 12)	exon (NM_001428, exon 9 of 12)	2551	NR_106786	102465436		NR_106786	ENSG00000274258	MIR6728	hsa-mir-6728	microRNA 6728	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3069	chr4	87870693	87870742	+	25	NA	intron (NM_001166693, intron 2 of 20)	intron (NM_001166693, intron 2 of 20)	14563	NM_001166693	4299	Hs.480190	NM_005935	ENSG00000172493	AFF1	AF4|MLLT2|PBM1	AF4/FMR2 family, member 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_510	chr10	49924423	49924472	+	25	NA	intron (NM_020945, intron 2 of 61)	intron (NM_020945, intron 2 of 61)	30929	NM_020945	57705	Hs.287379	NM_020945	ENSG00000128815	WDFY4	C10orf64	WDFY family member 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2922	chr3	145878917	145878966	+	25	NA	5' UTR (NM_182943, exon 1 of 20)	5' UTR (NM_182943, exon 1 of 20)	341	NM_182943	5352	Hs.477866	NM_000935	ENSG00000152952	PLOD2	BRKS2|LH2|TLH	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3275	chr4	30722030	30722079	+	25	NA	5' UTR (NM_002589, exon 1 of 2)	promoter-TSS (NM_002589)	17	NM_001173523	5099	Hs.479439	NM_002589	ENSG00000169851	PCDH7	BH-Pcdh|BHPCDH|PPP1R120	protocadherin 7	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1885	chr17	53489542	53489591	+	25	NA	intron (NM_012329, intron 2 of 6)	intron (NM_012329, intron 2 of 6)	9775	NM_012329	23531	Hs.463483	NM_012329	ENSG00000108960	MMD	MMA|MMD1|PAQR11	monocyte to macrophage differentiation-associated	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3246	chr4	1932370	1932419	+	25	NA	exon (NM_133335, exon 6 of 22)	exon (NM_133335, exon 6 of 22)	30041	NM_133334	7468	Hs.113876	NM_007331	ENSG00000109685	WHSC1	MMSET|NSD2|REIIBP|TRX5|WHS	Wolf-Hirschhorn syndrome candidate 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3595	chr6	89458147	89458196	+	25	NA	intron (NM_001286426, intron 12 of 14)	L2a|LINE|L2	-209083	NR_110867	101928936	Hs.533080	NR_110867		LOC101928936	-	uncharacterized LOC101928936	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3386	chr5	172356258	172356307	+	25	NA	intron (NM_001031711, intron 7 of 9)	L1MC5|LINE|L1	29496	NR_026683	100268168	Hs.519766	NR_026682	ENSG00000204758	LOC100268168	-	uncharacterized LOC100268168	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3407	chr5	180601076	180601125	+	25	NA	Intergenic--5369	tRNA-Leu-CTY|tRNA|tRNA	17808	NR_108031	102577426	Hs.277359	NR_108031	ENSG00000248473	LOC102577426	-	uncharacterized LOC102577426	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1526	chr15	73925667	73925738	+	25	NA	5' UTR (NM_012428, exon 1 of 9)	promoter-TSS (NM_012428)	51	NM_012428	27020	Hs.744867	NM_012428	ENSG00000156642	NPTN	GP55|GP65|SDFR1|SDR1|np55|np65	neuroplastin	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3113	chr3	69762553	69762602	+	25	NA	Intergenic--3225	U6|snRNA|snRNA	-26009	NM_198159	4286	Hs.166017	NM_000248	ENSG00000187098	MITF	CMM8|MI|WS2|WS2A|bHLHe32	microphthalmia-associated transcription factor	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2736	chr22	45607923	45607994	+	25	NA	exon (NM_001009880, exon 2 of 10)	exon (NM_001009880, exon 2 of 10)	389	NM_015264	23313	Hs.592207	NM_015264		KIAA0930	C22orf9|LSC3	KIAA0930	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_966	chr12	6818236	6818285	+	25	NA	Intergenic--10344	LTR12C|LTR|ERV1	-8251	NM_153685	196500	Hs.44067	NM_153685	ENSG00000139200	PIANP	C12orf53|LEDA1|PANP|leda-1	PILR alpha associated neural protein	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3153	chr5	10290780	10290837	+	25	NA	exon (NM_138809, exon 2 of 6)	exon (NM_138809, exon 2 of 6)	17360	NM_138809	134147	Hs.192586	NM_138809		CMBL	JS-1	carboxymethylenebutenolidase homolog (Pseudomonas)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2565	chr20	23356555	23356604	+	25	NA	3' UTR (NM_001283026, exon 10 of 10)	3' UTR (NM_001283026, exon 10 of 10)	11579	NM_001317019	64412	Hs.709462	NM_022482	ENSG00000125812	GZF1	ZBTB23|ZNF336	GDNF-inducible zinc finger protein 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2820	chr20	41455209	41455258	+	25	NA	intron (NM_133170, intron 2 of 31)	U2|snRNA|snRNA	141110	NR_110004	101927159	Hs.570383	NR_110004	ENSG00000229042	LOC101927159	-	uncharacterized LOC101927159	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2974	chr3	195803927	195803976	+	25	NA	5' UTR (NM_001313965, exon 2 of 18)	exon (NM_001128148, exon 2 of 19)	5010	NM_003234	7037	Hs.529618	NM_003234	ENSG00000072274	TFRC	CD71|T9|TFR|TFR1|TR|TRFR|p90	transferrin receptor	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2080	chr18	12577688	12577737	+	25	NA	intron (NM_020148, intron 2 of 15)	U2|snRNA|snRNA	79019	NM_001128627	56907	Hs.515283	NM_020148	ENSG00000134278	SPIRE1	Spir-1	spire-type actin nucleation factor 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1290	chr13	104401467	104401516	+	25	NA	Intergenic--11520	Intergenic	323941	NR_126374	104326190	Hs.334381	NR_126374	ENSG00000234551	LINC01309	TCONS_l2_00007459	long intergenic non-protein coding RNA 1309	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2425	chr2	157768082	157768131	+	25	NA	Intergenic--2438	L1M5|LINE|L1	-346234	NM_014568	11227	Hs.269027	NM_014568		GALNT5	GALNAC-T5|GALNACT5	polypeptide N-acetylgalactosaminyltransferase 5	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3387	chr5	172755315	172755398	+	25	NA	5' UTR (NM_003714, exon 1 of 4)	5' UTR (NM_003714, exon 1 of 4)	1150	NM_003714	8614	Hs.233160	NM_003714	ENSG00000113739	STC2	STC-2|STCRP	stanniocalcin 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2904	chr3	129516181	129516230	+	25	NA	intron (NM_001128224, intron 3 of 5)	intron (NM_001128224, intron 3 of 5)	83197	NM_001017395	23023	Hs.477547	NM_015008	ENSG00000172765	TMCC1	-	transmembrane and coiled-coil domain family 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1478	chr15	60835378	60835427	+	25	NA	intron (NM_134261, intron 2 of 10)	(T)n|Simple_repeat|Simple_repeat	49305	NM_134262	6095	Hs.560343	NM_002943	ENSG00000069667	RORA	NR1F1|ROR1|ROR2|ROR3|RZR-ALPHA|RZRA	RAR-related orphan receptor A	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_709	chr11	17208691	17208740	+	25	NA	Intergenic--9463	Intergenic	-17361	NM_002645	5286	Hs.175343	NM_002645	ENSG00000011405	PIK3C2A	CPK|PI3-K-C2(ALPHA)|PI3-K-C2A	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1910	chr17	65105678	65105753	+	25	NA	exon (NM_014877, exon 29 of 33)	exon (NM_014877, exon 29 of 33)	65063	NM_000727	786	Hs.147989	NM_000727	ENSG00000108878	CACNG1	CACNLG	calcium channel, voltage-dependent, gamma subunit 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_532	chr10	32308830	32308879	+	25	NA	exon (NM_004521, exon 20 of 26)	exon (NM_004521, exon 20 of 26)	36517	NM_004521	3799	Hs.327736	NM_004521	ENSG00000170759	KIF5B	HEL-S-61|KINH|KNS|KNS1|UKHC	kinesin family member 5B	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1289	chr14	24615753	24615802	+	25	NA	exon (NM_002818, exon 1 of 11)	promoter-TSS (NM_002818)	78	NM_002818	5721	Hs.434081	NM_002818	ENSG00000100911	PSME2	PA28B|PA28beta|REGbeta	proteasome activator subunit 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4745	chrY	19328554	19328603	+	25	NA	Intergenic--17547	L1PA4|LINE|L1	-284260	NR_028084	100302526	Hs.434364	NR_028084		FAM41AY2	-	family with sequence similarity 41, member A, Y-linked 2	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1424	chr14	99910644	99910693	+	25	NA	intron (NM_032233, intron 6 of 12)	U6|snRNA|snRNA	36558	NM_199123	84193	Hs.510407	NM_032233	ENSG00000183576	SETD3	C14orf154	SET domain containing 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3456	chr6	27155826	27155875	+	25	NA	Intergenic--5526	HERVKC4-int|LTR|ERVK	40445	NR_036096	100422934		NR_036096	ENSG00000265565	MIR3143	mir-3143	microRNA 3143	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3841	chr7	94369737	94369786	+	25	NA	Intergenic--6732	U6|snRNA|snRNA	84124	NM_001184962	23089	Hs.147492	NM_015068	ENSG00000242265	PEG10	EDR|HB-1|MEF3L|Mar2|Mart2|RGAG3	paternally expressed 10	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3372	chr5	157460233	157460282	+	25	NA	Intergenic--5220	5S|rRNA|rRNA	-174074	NM_001195556	9685	Hs.644000	NM_014666	ENSG00000113282	CLINT1	CLINT|ENTH|EPN4|EPNR	clathrin interactor 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3418	chr6	7303789	7303845	+	25	NA	exon (NM_003144, exon 3 of 8)	exon (NM_003144, exon 3 of 8)	9730	NR_120448	6745	Hs.114033	NM_003144	ENSG00000124783	SSR1	TRAPA	signal sequence receptor, alpha	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_681	chr11	12030950	12030999	+	25	NA	Intergenic	promoter-TSS (NM_013253)	-57	NM_013253	27122	Hs.292156	NM_013253	ENSG00000050165	DKK3	REIC|RIG	dickkopf WNT signaling pathway inhibitor 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4333	chr9	130700069	130700118	+	25	NA	intron (NM_003863, intron 1 of 3)	CpG	670	NM_003863	8818	Hs.108973	NM_003863	ENSG00000136908	DPM2	CDG1U	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4304	chr8	106942331	106942380	+	25	NA	intron (NR_125797, intron 1 of 4)	MIRb|SINE|MIR	130376	NR_125797	102723356	Hs.571413	NR_125796		ZFPM2-AS1	-	ZFPM2 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1649	chr16	58710164	58710213	+	25	NA	intron (NM_001308384, intron 6 of 7)	intron (NM_001308384, intron 6 of 7)	8423	NM_001308384	55238	Hs.10499	NM_018231	ENSG00000103042	SLC38A7	SNAT7	solute carrier family 38, member 7	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2688	chr2	221520523	221520572	+	25	NA	Intergenic--2727	Intergenic	-749261	NR_036228	100422959		NR_036228	ENSG00000266518	MIR4268	-	microRNA 4268	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_4167	chr9	18046394	18046443	+	25	NA	Intergenic--7878	MLT1J|LTR|ERVL-MaLR	-427661	NM_001040272	92949	Hs.741483	NM_052866	ENSG00000178031	ADAMTSL1	ADAMTSL-1|ADAMTSR1|C9orf94|PUNCTIN	ADAMTS like 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3024	chr3	9594241	9594290	+	25	NA	exon (NM_198560, exon 2 of 4)	exon (NM_198560, exon 2 of 4)	1221	NM_198560	375323	Hs.56782	NM_198560	ENSG00000156959	LHFPL4	-	lipoma HMGIC fusion partner-like 4	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4630	chrX	53489149	53489198	+	25	NA	Intergenic--16997	Intergenic	-27850	NM_001037811	3028	Hs.171280	NM_004493	ENSG00000072506	HSD17B10	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	hydroxysteroid (17-beta) dehydrogenase 10	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_17	chr1	3654811	3654860	+	25	NA	non-coding (NR_033711, exon 4 of 4)	non-coding (NR_033711, exon 4 of 4)	8500	NR_033712	57212	Hs.49658	NM_207306	ENSG00000227372	TP73-AS1	KIAA0495|PDAM	TP73 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1756	chr16	85840402	85840521	+	25	NA	exon (NM_001861, exon 5 of 5)	exon (NM_001861, exon 5 of 5)	7288	NM_001861	1327	Hs.433419	NM_001861	ENSG00000131143	COX4I1	COX4|COX4-1|COXIV	cytochrome c oxidase subunit IV isoform 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1534	chr15	75668161	75668210	+	25	NA	exon (NM_001145358, exon 20 of 21)	exon (NM_001145358, exon 20 of 21)	-7217	NM_001256496	4123	Hs.26232	NM_006715	ENSG00000140400	MAN2C1	MAN6A8|MANA|MANA1	mannosidase, alpha, class 2C, member 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2026	chr18	50035286	50035335	+	25	NA	intron (NM_005215, intron 1 of 28)	MER3|DNA|hAT-Charlie	168768	NM_005215	1630	Hs.162025	NM_005215	ENSG00000187323	DCC	CRC18|CRCR1|IGDCC1|MRMV1|NTN1R1	DCC netrin 1 receptor	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2749	chr3	4906832	4906881	+	25	NA	Intergenic--2877	Intergenic	41330	NR_125914	100507582	Hs.434505	NR_037903	ENSG00000235831	BHLHE40-AS1	-	BHLHE40 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3765	chr7	34876733	34876782	+	25	NA	intron (NM_001300935, intron 6 of 9)	L1ME4a|LINE|L1	-2814	NR_015356	404744	Hs.487951	NM_207283	ENSG00000197085	NPSR1-AS1	AAA1	NPSR1 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3159	chr5	16465816	16465865	+	24	NA	5' UTR (NM_033414, exon 1 of 6)	promoter-TSS (NM_033414)	54	NM_033414	90441	Hs.60300	NM_033414	ENSG00000173545	ZNF622	ZPR9	zinc finger protein 622	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3680	chr6	152652865	152652914	+	24	NA	exon (NM_182961, exon 78 of 146)	exon (NM_182961, exon 78 of 146)	-48776	NR_120501	100505475	Hs.571203	NR_120501		SYNE1-AS1	-	SYNE1 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2708	chr22	36697603	36697669	+	24	NA	exon (NM_002473, exon 21 of 41)	exon (NM_002473, exon 21 of 41)	-14683	NR_106877	102465491		NR_106877	ENSG00000278420	MIR6819	hsa-mir-6819	microRNA 6819	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2895	chr21	33785478	33785527	+	24	NA	intron (NR_104472, intron 1 of 6)	CpG	757	NM_001286556	59271	Hs.208358	NM_058187	ENSG00000166979	EVA1C	B18|B19|C21orf63|C21orf64|FAM176C|PRED34|SUE21	eva-1 homolog C (C. elegans)	protein-coding
