PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10b_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10b_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10b_sorted_fstrand_peak_1489	chr14	105946217	105946266	+	13	NA	non-coding (NR_073085, exon 8 of 8)	non-coding (NR_073085, exon 8 of 8)	2658	NR_073085	1397	Hs.534309	NM_001312	ENSG00000182809	CRIP2	CRIP|CRP2|ESP1	cysteine-rich protein 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1529	chr15	102192527	102192576	+	13	NA	exon (NM_025141, exon 1 of 5)	promoter-TSS (NM_025141)	43	NM_078474	80213	Hs.288912	NM_025141	ENSG00000184277	TM2D3	BLP2	TM2 domain containing 3	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3148	chr4	186560808	186560857	+	13	NA	intron (NM_001145671, intron 11 of 22)	intron (NM_001145671, intron 11 of 22)	17291	NM_001145674	8470	Hs.619806	NM_003603	ENSG00000154556	SORBS2	ARGBP2|PRO0618	sorbin and SH3 domain containing 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4607	chrX	53139253	53139302	+	13	NA	intron (NR_110456, intron 2 of 2)	L1M1|LINE|L1	15938	NR_110456	102723508	Hs.633244	NR_110456		KANTR	LINC01155|Spasm	KDM5C adjacent non-coding transcript	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_4521	chr9	137726981	137727030	+	13	NA	exon (NM_001278074, exon 65 of 66)	exon (NM_001278074, exon 65 of 66)	14210	NR_039691	100616333		NR_039691	ENSG00000264744	MIR3689C	-	microRNA 3689c	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3386	chr5	180645204	180645283	+	13	NA	Intergenic--5371	Intergenic	4390	NR_039781	100616342		NR_039781	ENSG00000264732	MIR4638	mir-4638	microRNA 4638	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_2415	chr2	136624166	136624215	+	13	NA	exon (NM_005915, exon 5 of 17)	exon (NM_005915, exon 5 of 17)	9857	NM_005915	4175	Hs.444118	NM_005915	ENSG00000076003	MCM6	MCG40308|Mis5|P105MCM	minichromosome maintenance complex component 6	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3967	chr7	3474151	3474200	+	13	NA	intron (NM_152744, intron 1 of 44)	MIR|SINE|MIR	133095	NM_152744	221935	Hs.653013	NM_152744	ENSG00000146555	SDK1	-	sidekick cell adhesion molecule 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2719	chr2	231630044	231630093	+	13	NA	intron (NM_016289, intron 2 of 8)	Charlie1a|DNA|hAT-Charlie	51805	NM_001130849	51719	Hs.603930	NM_016289	ENSG00000135932	CAB39	CGI-66|MO25	calcium binding protein 39	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3709	chr6	10695178	10695227	+	13	NA	5' UTR (NM_017906, exon 1 of 10)	promoter-TSS (NM_017906)	14	NM_017906	55003	Hs.310231	NM_017906	ENSG00000111845	PAK1IP1	MAK11|PIP1|WDR84|bA421M1.5|hPIP1	PAK1 interacting protein 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_415	chr1	215748981	215749030	+	13	NA	intron (NM_016121, intron 3 of 17)	intron (NM_016121, intron 3 of 17)	8270	NM_016121	51133	Hs.335139	NM_016121	ENSG00000136636	KCTD3	NY-REN-45	potassium channel tetramerization domain containing 3	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4068	chr7	91622217	91622266	+	13	NA	exon (NM_005751, exon 5 of 50)	exon (NM_005751, exon 5 of 50)	52052	NM_005751	10142	Hs.651221	NM_005751	ENSG00000127914	AKAP9	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	A kinase (PRKA) anchor protein 9	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2220	chr19	12856228	12856277	+	13	NA	exon (NM_004317, exon 3 of 7)	exon (NM_004317, exon 3 of 7)	-7155	NM_017682	54831	Hs.435611	NM_017682	ENSG00000039987	BEST2	VMD2L1	bestrophin 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2291	chr2	40004781	40004830	+	13	NA	intron (NR_028102, intron 1 of 10)	intron (NR_028102, intron 1 of 10)	1611	NR_028102	80745	Hs.468254	NM_025264	ENSG00000138050	THUMPD2	C2orf8	THUMP domain containing 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3725	chr6	21039090	21039139	+	13	NA	intron (NM_017774, intron 11 of 15)	intron (NM_017774, intron 11 of 15)	473009	NR_103790	100874531	Hs.112750	NR_103790	ENSG00000280989	LINC00581	linc-MBOAT1-4	long intergenic non-protein coding RNA 581	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_4344	chr8	145582267	145582366	+	13	NA	5' UTR (NM_024531, exon 1 of 5)	promoter-TSS (NM_012162)	40	NM_024531	79581	Hs.6459	NM_024531	ENSG00000185803	SLC52A2	BVVLS2|D15Ertd747e|GPCR41|GPR172A|PAR1|RFT3|RFVT2|hRFT3	solute carrier family 52 (riboflavin transporter), member 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1085	chr12	82752117	82752166	+	13	NA	exon (NM_014167, exon 1 of 4)	promoter-TSS (NM_014167)	58	NM_014167	29080	Hs.582627	NM_014167	ENSG00000133773	CCDC59	BR22|HSPC128|TAP26	coiled-coil domain containing 59	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4067	chr7	91570453	91570502	+	13	NA	intron (NM_147185, intron 1 of 49)	intron (NM_147185, intron 1 of 49)	288	NM_005751	10142	Hs.651221	NM_005751	ENSG00000127914	AKAP9	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	A kinase (PRKA) anchor protein 9	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_114	chr1	35903147	35903226	+	13	NA	intron (NM_024874, intron 20 of 20)	intron (NM_024874, intron 20 of 20)	119851	NM_024874	79932	Hs.456507	NM_024874	ENSG00000142687	KIAA0319L	-	KIAA0319-like	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3392	chr4	186064420	186064469	+	13	NA	5' UTR (NM_001151, exon 1 of 4)	promoter-TSS (NM_001151)	27	NM_001151	291	Hs.246506	NM_001151	ENSG00000151729	SLC25A4	AAC1|ANT|ANT 1|ANT1|MTDPS12|PEO2|PEO3|T1	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1923	chr17	38599706	38599807	+	13	NA	5' UTR (NM_001552, exon 1 of 4)	promoter-TSS (NM_001552)	80	NM_001552	3487	Hs.462998	NM_001552	ENSG00000141753	IGFBP4	BP-4|HT29-IGFBP|IBP4|IGFBP-4	insulin like growth factor binding protein 4	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1662	chr16	85045049	85045098	+	13	NA	5' UTR (NM_001145548, exon 1 of 9)	promoter-TSS (NM_001145548)	68	NM_001145548	55625	Hs.461610	NM_017740	ENSG00000153786	ZDHHC7	DHHC7|SERZ-B|SERZ1|ZNF370	zinc finger, DHHC-type containing 7	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_692	chr11	24518694	24518743	+	13	NA	5' UTR (NM_001252010, exon 1 of 10)	5' UTR (NM_001252010, exon 1 of 10)	202	NM_001252010	338645	Hs.144138	NM_001009909	ENSG00000187398	LUZP2	KFSP2566|PRO6246	leucine zipper protein 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1382	chr14	100065139	100065188	+	13	NA	intron (NM_001144995, intron 1 of 5)	MIRb|SINE|MIR	5564	NM_001144995	317762	Hs.709288	NM_001144995		CCDC85C	-	coiled-coil domain containing 85C	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3987	chr7	21483327	21483376	+	13	NA	intron (NM_003112, intron 3 of 5)	intron (NM_003112, intron 3 of 5)	15662	NM_003112	6671	Hs.88013	NM_003112	ENSG00000105866	SP4	HF1B|SPR-1	Sp4 transcription factor	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3394	chr6	2112471	2112520	+	13	NA	intron (NM_001253846, intron 4 of 10)	intron (NM_001253846, intron 4 of 10)	63730	NM_001253846	2762	Hs.144496	NM_001500	ENSG00000112699	GMDS	GMD|SDR3E1	GDP-mannose 4,6-dehydratase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4203	chr9	33152421	33152470	+	13	NA	intron (NM_001497, intron 1 of 5)	L1M5|LINE|L1	-14501	NR_108110	101929639	Hs.545818	NR_108108	ENSG00000233554	B4GALT1-AS1	-	B4GALT1 antisense RNA 1	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_4042	chr8	74719978	74720027	+	13	NA	intron (NR_073119, intron 3 of 5)	intron (NR_073119, intron 3 of 5)	-60059	NM_001164384	27067	Hs.561815	NM_014393	ENSG00000040341	STAU2	39K2|39K3	staufen double-stranded RNA binding protein 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2509	chr2	63203311	63203360	+	13	NA	intron (NM_015252, intron 15 of 24)	intron (NM_015252, intron 15 of 24)	71511	NR_027069	100132215	Hs.656781	NR_027069	ENSG00000231609	LOC100132215	-	uncharacterized LOC100132215	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_2898	chr3	122101991	122102079	+	13	NA	5' UTR (NM_001308326, exon 1 of 5)	promoter-TSS (NM_001017928)	43	NM_001308326	131076	Hs.220594	NM_001017928	ENSG00000160124	CCDC58	-	coiled-coil domain containing 58	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3655	chr6	136865687	136865736	+	12	NA	intron (NM_001198616, intron 1 of 16)	intron (NM_001198616, intron 1 of 16)	6246	NM_001198616	9053	Hs.486548	NM_003980	ENSG00000135525	MAP7	E-MAP-115|EMAP115	microtubule-associated protein 7	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2163	chr19	1269364	1269413	+	12	NA	5' UTR (NM_001300815, exon 1 of 7)	non-coding (NR_023313, exon 1 of 6)	121	NR_023312	1153	Hs.618145	NM_001280	ENSG00000099622	CIRBP	CIRP	cold inducible RNA binding protein	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3721	chr6	15246306	15246355	+	12	NA	5' UTR (NM_004973, exon 1 of 18)	5' UTR (NM_004973, exon 1 of 18)	124	NM_004973	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji, AT rich interactive domain 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4592	chrX	40944974	40945023	+	12	NA	5' UTR (NM_001039590, exon 1 of 45)	5' UTR (NM_001039590, exon 1 of 45)	110	NM_001039590	8239	Hs.77578	NM_004652	ENSG00000124486	USP9X	DFFRX|FAF|FAM|MRX99	ubiquitin specific peptidase 9, X-linked	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_105	chr1	32403884	32403933	+	12	NA	5' UTR (NM_080391, exon 1 of 6)	promoter-TSS (NM_080391)	80	NM_080391	8073	Hs.470477	NM_003479	ENSG00000184007	PTP4A2	HH13|HH7-2|HU-PP-1|OV-1|PRL-2|PRL2|PTP4A|PTPCAAX2|ptp-IV1a|ptp-IV1b	protein tyrosine phosphatase type IVA, member 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1728	chr17	5336365	5336459	+	12	NA	exon (NM_001212, exon 6 of 6)	TTS (NR_027685)	6059	NM_001212	708	Hs.555866	NM_001212	ENSG00000108561	C1QBP	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	complement component 1, q subcomponent binding protein	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1670	chr16	87868021	87868070	+	12	NA	exon (NM_003486, exon 9 of 10)	TTS (NR_106833)	221	NR_106833	102465464		NR_106833	ENSG00000278598	MIR6775	hsa-mir-6775	microRNA 6775	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3376	chr5	179046329	179046378	+	12	NA	exon (NM_005520, exon 5 of 14)	exon (NM_005520, exon 5 of 14)	4358	NM_001257293	3187	Hs.604001	NM_005520	ENSG00000169045	HNRNPH1	HNRPH|HNRPH1|hnRNPH	heterogeneous nuclear ribonucleoprotein H1 (H)	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3898	chr7	127982780	127982829	+	12	NA	intron (NM_018077, intron 1 of 18)	L2a|LINE|L2	1158	NM_001166135	55131	Hs.274263	NM_018077	ENSG00000106344	RBM28	ANES	RNA binding motif protein 28	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_286	chr1	151403761	151403810	+	12	NA	intron (NM_207171, intron 1 of 16)	intron (NM_207171, intron 1 of 16)	10896	NM_207171	23126	Hs.489873	NM_015100	ENSG00000143442	POGZ	MRD37|ZNF280E|ZNF635|ZNF635m	pogo transposable element with ZNF domain	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4297	chr9	123527879	123527928	+	12	NA	intron (NM_012164, intron 7 of 7)	X7A_LINE|LINE|CR1	27837	NM_012164	26190	Hs.494985	NM_012164	ENSG00000119402	FBXW2	FBW2|Fwd2|Md6	F-box and WD repeat domain containing 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2665	chr21	40550445	40550494	+	12	NA	exon (NM_203433, exon 4 of 6)	exon (NM_203433, exon 4 of 6)	4971	NR_049728	8624	Hs.473838	NM_003720	ENSG00000183527	PSMG1	C21LRP|DSCR2|LRPC21|PAC-1|PAC1	proteasome (prosome, macropain) assembly chaperone 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2302	chr19	36641072	36641214	+	12	NA	3' UTR (NM_001302632, exon 11 of 11)	TTS (NM_001864)	2628	NM_001864	1346	Hs.421621	NM_001864	ENSG00000161281	COX7A1	COX7A|COX7AH|COX7AM	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4439	chrX	77084198	77084277	+	12	NA	3' UTR (NM_032121, exon 10 of 10)	3' UTR (NM_032121, exon 10 of 10)	-42482	NM_138270	546	Hs.533526	NM_000489	ENSG00000085224	ATRX	ATR2|JMS|MRX52|MRXHF1|RAD54|RAD54L|SFM1|SHS|XH2|XNP|ZNF-HX	alpha thalassemia/mental retardation syndrome X-linked	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1567	chr15	67422691	67422740	+	12	NA	intron (NM_001145102, intron 1 of 8)	MER1B|DNA|hAT-Charlie	4661	NM_001145102	4088	Hs.727986	NM_005902	ENSG00000166949	SMAD3	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	SMAD family member 3	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_358	chr1	179323398	179323447	+	12	NA	non-coding (NR_045530, exon 14 of 14)	non-coding (NR_045530, exon 14 of 14)	-11433	NM_144696	126859	Hs.658505	NM_144696	ENSG00000162779	AXDND1	C1orf125	axonemal dynein light chain domain containing 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1680	chr16	29708632	29708751	+	12	NA	exon (NM_014298, exon 4 of 4)	exon (NM_014298, exon 4 of 4)	18250	NM_014298	23475	Hs.513484	NM_014298		QPRT	HEL-S-90n|QPRTase	quinolinate phosphoribosyltransferase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3058	chr4	74123980	74124071	+	12	NA	exon (NM_032217, exon 1 of 34)	exon (NM_032217, exon 1 of 34)	477	NM_032217	26057	Hs.601206	NM_032217	ENSG00000132466	ANKRD17	GTAR|MASK2|NY-BR-16	ankyrin repeat domain 17	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2211	chr19	11217187	11217236	+	12	NA	intron (NM_001195798, intron 4 of 17)	intron (NM_001195798, intron 4 of 17)	-6939	NR_106946	102465534		NR_106946	ENSG00000273892	MIR6886	hsa-mir-6886	microRNA 6886	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3272	chr5	83356250	83356299	+	12	NA	exon (NM_005711, exon 9 of 11)	exon (NM_005711, exon 9 of 11)	324411	NM_005711	10085	Hs.482730	NM_005711	ENSG00000164176	EDIL3	DEL1	EGF-like repeats and discoidin I-like domains 3	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3162	chr5	1345067	1345116	+	12	NA	Intergenic	promoter-TSS (NM_030782)	-89	NM_030782	81037	Hs.444673	NM_030782	ENSG00000049656	CLPTM1L	CRR9	CLPTM1-like	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1323	chr14	58764786	58764835	+	12	NA	non-coding (NR_029435, exon 1 of 4)	promoter-TSS (NR_029435)	45	NR_029435	379025	Hs.531089	NR_029434	ENSG00000257621	PSMA3-AS1	-	PSMA3 antisense RNA 1	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_2811	chr20	35832343	35832392	+	12	NA	intron (NM_001135771, intron 4 of 16)	intron (NM_001135771, intron 4 of 16)	-24376	NM_152503	140699	Hs.349125	NM_152503	ENSG00000101353	MROH8	C20orf131|C20orf132|dJ621N11.3|dJ621N11.4	maestro heat-like repeat family member 8	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_453	chr1	230338917	230338994	+	11	NA	exon (NM_004481, exon 3 of 16)	exon (NM_004481, exon 3 of 16)	136013	NR_120373	2590	Hs.743964	NM_004481	ENSG00000143641	GALNT2	GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1616	chr16	50351646	50351695	+	11	NA	3' UTR (NM_001114, exon 25 of 25)	3' UTR (NM_001114, exon 25 of 25)	25143	NR_106829	102465462		NR_106829	ENSG00000274969	MIR6771	hsa-mir-6771	microRNA 6771	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_726	chr11	46722581	46722677	+	11	NA	exon (NM_024741, exon 1 of 5)	promoter-TSS (NM_001184751)	-15	NM_001184751	79797	Hs.656931	NM_024741	ENSG00000175213	ZNF408	-	zinc finger protein 408	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1627	chr16	58699836	58699885	+	11	NA	3' UTR (NM_018231, exon 12 of 12)	3' UTR (NM_018231, exon 12 of 12)	18751	NM_001308384	55238	Hs.10499	NM_018231	ENSG00000103042	SLC38A7	SNAT7	solute carrier family 38, member 7	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3625	chr6	117906381	117906430	+	11	NA	intron (NM_020399, intron 1 of 8)	intron (NM_020399, intron 1 of 8)	17300	NM_020399	57120	Hs.191539	NM_020399	ENSG00000047932	GOPC	CAL|FIG|GOPC1|PIST|dJ94G16.2	golgi-associated PDZ and coiled-coil motif containing	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2378	chr2	100066706	100066755	+	11	NA	intron (NM_016316, intron 3 of 22)	intron (NM_016316, intron 3 of 22)	39750	NM_016316	51455	Hs.443077	NM_016316	ENSG00000135945	REV1	REV1L	REV1, DNA directed polymerase	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2774	chr20	17368952	17369001	+	11	NA	intron (NM_001201529, intron 4 of 10)	L2b|LINE|L2	143038	NM_001195	631	Hs.129702	NM_001195	ENSG00000125864	BFSP1	CP115|CP94|CTRCT33|LIFL-H	beaded filament structural protein 1, filensin	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4437	chrX	76969571	76969620	+	11	NA	intron (NM_138270, intron 2 of 33)	MLT1E2|LTR|ERVL-MaLR	72160	NM_000489	546	Hs.533526	NM_000489	ENSG00000085224	ATRX	ATR2|JMS|MRX52|MRXHF1|RAD54|RAD54L|SFM1|SHS|XH2|XNP|ZNF-HX	alpha thalassemia/mental retardation syndrome X-linked	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3850	chr6	64286359	64286423	+	11	NA	5' UTR (NM_003463, exon 2 of 6)	5' UTR (NM_003463, exon 2 of 6)	4474	NM_003463	7803	Hs.227777	NM_003463	ENSG00000112245	PTP4A1	HH72|PRL-1|PRL1|PTP(CAAX1)|PTPCAAX1	protein tyrosine phosphatase type IVA, member 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2923	chr21	47851983	47852099	+	11	NA	exon (NM_006031, exon 38 of 47)	exon (NM_006031, exon 38 of 47)	-26821	NM_015151	23181	Hs.189585	NM_015151	ENSG00000160305	DIP2A	C21orf106|DIP2	disco-interacting protein 2 homolog A	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3637	chr6	129897041	129897090	+	11	NA	Intergenic--6080	THE1C|LTR|ERVL-MaLR	134305	NM_033515	93663	Hs.486458	NM_033515	ENSG00000146376	ARHGAP18	MacGAP|SENEX|bA307O14.2	Rho GTPase activating protein 18	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3889	chr6	116692176	116692269	+	11	NA	5' UTR (NM_013352, exon 1 of 6)	5' UTR (NM_013352, exon 1 of 6)	112	NM_013352	29940	Hs.458358	NM_013352	ENSG00000111817	DSE	DSEP|DSEPI|EDSMC2|SART-2|SART2	dermatan sulfate epimerase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_387	chr1	180451964	180452013	+	11	NA	intron (NM_032360, intron 3 of 7)	intron (NM_032360, intron 3 of 7)	20034	NM_032360	84320	Hs.200051	NM_032360	ENSG00000230124	ACBD6	-	acyl-CoA binding domain containing 6	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3474	chr6	28872157	28872231	+	11	NA	exon (NM_006510, exon 8 of 8).4	exon (NM_006510, exon 8 of 8).4	7887	NR_104117	414760	Hs.211005	NR_104117	ENSG00000224157	HCG14	dJ111M5.4	HLA complex group 14 (non-protein coding)	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_3551	chr5	102109960	102110009	+	11	NA	Intergenic--4906	L1PA14|LINE|L1	-91543	NR_033440	5066	Hs.369430	NM_000919	ENSG00000145730	PAM	PAL|PHM	peptidylglycine alpha-amidating monooxygenase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3575	chr6	84055915	84055964	+	11	NA	exon (NM_002395, exon 5 of 14)	exon (NM_002395, exon 5 of 14)	84999	NM_002395	4199	Hs.21160	NM_002395	ENSG00000065833	ME1	HUMNDME|MES	malic enzyme 1, NADP(+)-dependent, cytosolic	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2678	chr21	44844051	44844136	+	11	NA	intron (NM_173354, intron 3 of 13)	intron (NM_173354, intron 3 of 13)	2909	NM_173354	150094	Hs.282113	NM_173354	ENSG00000142178	SIK1	EIEE30|MSK|SIK|SNF1LK	salt-inducible kinase 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4270	chr8	61504476	61504525	+	11	NA	exon (NM_002865, exon 6 of 8)	exon (NM_002865, exon 6 of 8)	75031	NM_002865	5862	Hs.369017	NM_002865	ENSG00000104388	RAB2A	LHX|RAB2	RAB2A, member RAS oncogene family	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3380	chr4	169611826	169611875	+	11	NA	exon (NM_016081, exon 7 of 21)	exon (NM_016081, exon 7 of 21)	59082	NM_001166109	23022	Hs.151220	NM_016081	ENSG00000129116	PALLD	CGI-151|CGI151|MYN|PNCA1|SIH002	palladin, cytoskeletal associated protein	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1933	chr17	40766935	40766984	+	11	NA	exon (NM_001070, exon 11 of 11)	exon (NM_001070, exon 11 of 11)	-5514	NM_178126	162427	Hs.632262	NM_178126	ENSG00000141699	FAM134C	-	family with sequence similarity 134, member C	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3822	chr7	87488010	87488059	+	11	NA	exon (NM_018843, exon 3 of 12)	exon (NM_018843, exon 3 of 12)	-17510	NM_006716	10926	Hs.485380	NM_006716	ENSG00000006634	DBF4	ASK|CHIF|DBF4A|ZDBF1	DBF4 zinc finger	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4490	chr9	131893875	131893924	+	11	NA	exon (NM_178003, exon 4 of 9)	exon (NM_178003, exon 4 of 9)	19932	NM_001193397	5524	Hs.400740	NM_021131	ENSG00000119383	PPP2R4	PP2A|PR53|PTPA	protein phosphatase 2A activator, regulatory subunit 4	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3931	chr6	151658285	151658334	+	11	NA	intron (NM_144497, intron 1 of 2)	intron (NM_144497, intron 1 of 2)	11643	NM_144497	9590	Hs.371240	NM_005100	ENSG00000131016	AKAP12	AKAP250|SSeCKS	A kinase (PRKA) anchor protein 12	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2147	chr19	507556	507605	+	11	NA	exon (NM_033513, exon 1 of 2)	promoter-TSS (NM_033513)	83	NM_033513	91978	Hs.369613	NM_033513	ENSG00000141933	TPGS1	C19orf20|GTRGEO22|PGs1	tubulin polyglutamylase complex subunit 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1555	chr15	64760588	64760637	+	11	NA	Intergenic--12404	AluJr|SINE|Alu	-31007	NM_015042	23060	Hs.595451	NM_015042	ENSG00000180357	ZNF609	-	zinc finger protein 609	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_361	chr1	179983363	179983458	+	11	NA	exon (NM_014810, exon 10 of 38)	exon (NM_014810, exon 10 of 38)	59502	NM_014810	9857	Hs.413045	NM_014810	ENSG00000135837	CEP350	CAP350|GM133	centrosomal protein 350kDa	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3980	chr8	38142819	38142868	+	11	NA	intron (NM_023034, intron 19 of 23)	intron (NM_023034, intron 19 of 23)	-16105	NM_001102560	84513	Hs.567619	NM_032483	ENSG00000147535	PLPP5	DPPL1|HTPAP|PPAPDC1B	phospholipid phosphatase 5	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_758	chr11	47540324	47540373	+	11	NA	intron (NM_001172639, intron 1 of 15)	intron (NM_001172639, intron 1 of 15)	5192	NM_001172639	10658	Hs.595333	NM_006560	ENSG00000149187	CELF1	BRUNOL2|CUG-BP|CUGBP|CUGBP1|EDEN-BP|NAB50|NAPOR|hNab50	CUGBP, Elav-like family member 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_317	chr1	161771995	161772044	+	11	NA	exon (NM_007348, exon 7 of 16)	exon (NM_007348, exon 7 of 16)	35985	NM_007348	22926	Hs.492740	NM_007348	ENSG00000118217	ATF6	ATF6A	activating transcription factor 6	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1672	chr16	23669927	23669976	+	11	NA	intron (NR_037573, intron 4 of 6)	intron (NR_037573, intron 4 of 6)	17264	NM_001199011	84516	Hs.435941	NM_032486		DCTN5	-	dynactin 5 (p25)	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_246	chr1	114447192	114447241	+	11	NA	intron (NM_001253852, intron 1 of 9)	promoter-TSS (NM_022836)	329	NM_001253852	10717	Hs.515048	NM_006594	ENSG00000134262	AP4B1	BETA-4|CPSQ5|SPG47	adaptor-related protein complex 4, beta 1 subunit	protein-coding
